year,MPG(comb),cylinders,displ (L),log_displ,vehicle_class_Large Cars,vehicle_class_Midsize Cars,vehicle_class_Midsize-Large Station Wagons,vehicle_class_Minicompact Cars,vehicle_class_Minivan,vehicle_class_Small Pickup Trucks,vehicle_class_Small Station Wagons,vehicle_class_Sport Utility Vehicle,vehicle_class_Standard Pickup Trucks,vehicle_class_Subcompact Cars,vehicle_class_Two Seaters,vehicle_class_Vans,drive_Front-Wheel Drive,drive_Rear-Wheel Drive,trany_Manual
2000,21,6.0,3.8,1.33500106673234,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,21,6.0,3.4,1.2237754316221157,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,21,4.0,2.0,0.6931471805599453,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2000,16,4.0,2.5,0.9162907318741551,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2000,19,6.0,3.8,1.33500106673234,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,20,6.0,3.8,1.33500106673234,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,14,12.0,5.4,1.6863989535702288,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2000,18,8.0,4.4,1.4816045409242156,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2000,18,8.0,4.2,1.4350845252893227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,22,4.0,2.0,0.6931471805599453,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2000,19,6.0,2.9,1.0647107369924282,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,19,8.0,4.6,1.5260563034950492,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,20,6.0,3.8,1.33500106673234,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,21,6.0,3.8,1.33500106673234,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,19,6.0,3.5,1.252762968495368,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,13,8.0,4.7,1.547562508716013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2000,18,8.0,4.6,1.5260563034950492,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2000,18,8.0,4.6,1.5260563034950492,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2000,18,8.0,4.6,1.5260563034950492,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,20,6.0,3.0,1.0986122886681098,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,20,6.0,3.0,1.0986122886681098,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,18,8.0,4.6,1.5260563034950492,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2000,19,6.0,3.5,1.252762968495368,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,21,4.0,2.0,0.6931471805599453,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2000,20,6.0,3.2,1.1631508098056809,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,21,6.0,2.7,0.9932517730102834,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,21,6.0,2.7,0.9932517730102834,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,19,6.0,3.5,1.252762968495368,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,20,6.0,3.2,1.1631508098056809,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,21,6.0,2.7,0.9932517730102834,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,18,6.0,2.8,1.0296194171811581,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,17,4.0,2.5,0.9162907318741551,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2000,22,5.0,2.4,0.8754687373538999,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2000,15,6.0,3.5,1.252762968495368,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2000,21,4.0,2.0,0.6931471805599453,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2000,21,4.0,2.0,0.6931471805599453,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2000,16,6.0,3.2,1.1631508098056809,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2000,21,4.0,2.0,0.6931471805599453,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2000,16,6.0,3.2,1.1631508098056809,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2000,19,4.0,2.2,0.7884573603642703,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2000,12,8.0,4.6,1.5260563034950492,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2000,19,4.0,2.2,0.7884573603642703,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2000,15,6.0,3.3,1.1939224684724346,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2000,20,5.0,2.3,0.8329091229351039,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,16,6.0,3.2,1.1631508098056809,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2000,16,6.0,3.2,1.1631508098056809,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2000,18,6.0,4.3,1.4586150226995167,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2000,21,5.0,2.3,0.8329091229351039,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2000,19,4.0,2.2,0.7884573603642703,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2000,13,8.0,5.4,1.6863989535702288,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
