year,vehicle_class,MPG(comb),cylinders,displ (L),drive,trany
1984,Standard Pickup Trucks,14,6.0,4.1,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,15,6.0,4.1,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,21,4.0,2.4,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,20,4.0,2.4,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,21,4.0,2.4,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,24,4.0,2.4,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,19,4.0,2.4,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,13,8.0,5.0,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,14,8.0,5.0,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,14,6.0,4.1,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,16,8.0,5.0,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,15,8.0,5.0,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,15,8.0,5.0,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,14,6.0,4.1,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,13,8.0,5.0,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,11,8.0,5.2,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,11,8.0,5.2,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,11,8.0,5.2,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,14,6.0,3.7,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,18,6.0,2.8,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,17,6.0,2.8,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,18,6.0,2.8,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,20,4.0,2.0,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,20,4.0,2.0,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,12,8.0,5.7,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,12,8.0,5.7,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,14,8.0,5.0,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,14,8.0,5.0,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,10,8.0,5.9,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,14,8.0,5.0,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,12,8.0,5.8,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,11,8.0,5.8,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,15,8.0,5.0,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,13,8.0,5.0,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,14,8.0,5.0,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,12,8.0,5.0,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,18,6.0,4.9,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,17,6.0,4.9,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,15,6.0,4.9,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,14,6.0,4.9,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,11,8.0,5.9,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,11,8.0,5.2,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,11,8.0,5.2,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,17,6.0,4.1,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,11,8.0,5.8,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,14,6.0,4.9,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,17,6.0,4.1,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,16,6.0,4.1,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,15,6.0,4.1,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,17,8.0,5.0,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,15,8.0,5.0,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,18,6.0,3.8,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,17,6.0,3.8,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,11,8.0,5.8,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,11,8.0,5.8,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,11,8.0,5.8,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,13,8.0,5.0,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,15,8.0,5.0,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,13,8.0,5.0,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,13,6.0,4.9,Front-Wheel Drive,Automatic
1984,Vans,15,8.0,5.0,Front-Wheel Drive,Automatic
1984,Vans,14,8.0,5.0,Front-Wheel Drive,Automatic
1984,Vans,16,6.0,4.1,Front-Wheel Drive,Manual
1984,Vans,16,6.0,4.1,Front-Wheel Drive,Manual
1984,Vans,15,6.0,4.1,Front-Wheel Drive,Automatic
1984,Vans,15,6.0,4.1,Front-Wheel Drive,Automatic
1984,Standard Pickup Trucks,18,4.0,2.4,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,11,8.0,5.9,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,11,8.0,5.9,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,16,6.0,4.2,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,17,6.0,4.2,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,18,6.0,2.8,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,17,6.0,2.8,4-Wheel Drive,Manual
1984,Vans,15,8.0,5.0,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,18,6.0,2.8,4-Wheel Drive,Automatic
1984,Vans,16,8.0,5.0,Front-Wheel Drive,Manual
1984,Vans,15,6.0,4.9,Front-Wheel Drive,Automatic
1984,Vans,14,6.0,4.9,Front-Wheel Drive,Automatic
1984,Vans,11,8.0,5.9,Front-Wheel Drive,Automatic
1984,Vans,11,8.0,5.7,Front-Wheel Drive,Automatic
1984,Vans,11,8.0,5.2,Front-Wheel Drive,Automatic
1984,Vans,20,4.0,2.0,Front-Wheel Drive,Automatic
1984,Vans,12,8.0,5.2,Front-Wheel Drive,Automatic
1984,Vans,11,8.0,5.9,Front-Wheel Drive,Automatic
1984,Vans,11,8.0,5.2,Front-Wheel Drive,Automatic
1984,Vans,13,8.0,5.2,Front-Wheel Drive,Manual
1984,Vans,12,8.0,5.2,Front-Wheel Drive,Automatic
1984,Vans,17,6.0,3.7,Front-Wheel Drive,Manual
1984,Vans,21,4.0,2.0,Front-Wheel Drive,Manual
1984,Vans,15,6.0,3.7,Front-Wheel Drive,Automatic
1984,Vans,15,4.0,1.9,Front-Wheel Drive,Automatic
1984,Vans,14,6.0,4.1,Front-Wheel Drive,Manual
1984,Vans,14,6.0,4.1,Front-Wheel Drive,Automatic
1984,Vans,16,4.0,1.9,Front-Wheel Drive,Manual
1984,Standard Pickup Trucks,20,4.0,2.0,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,20,4.0,2.0,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,12,8.0,5.7,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,11,8.0,5.8,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,12,8.0,5.8,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,10,8.0,5.8,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,12,8.0,5.0,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,13,8.0,5.0,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,12,8.0,5.0,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,14,6.0,4.9,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,15,6.0,4.9,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,13,6.0,4.9,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,10,8.0,5.9,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,11,8.0,5.2,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,11,8.0,5.2,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,11,8.0,5.8,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,13,6.0,4.9,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,14,6.0,4.9,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,12,8.0,5.0,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,12,8.0,5.7,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,14,8.0,5.0,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,13,8.0,5.0,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,14,8.0,5.0,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,14,6.0,4.1,4-Wheel Drive,Manual
1984,Standard Pickup Trucks,15,6.0,4.1,4-Wheel Drive,Automatic
1984,Standard Pickup Trucks,11,8.0,5.8,4-Wheel Drive,Automatic
